"state_po","EV_1976","EV_1980","EV_1984","EV_1988","EV_1992","EV_1996","EV_2000","EV_2004","EV_2008","EV_2012","EV_2016"
"AL",9,9,9,9,9,9,9,9,9,9,9
"AK",3,3,3,3,3,3,3,3,3,3,3
"AZ",6,6,7,7,8,8,8,10,10,11,11
"AR",6,6,6,6,6,6,6,6,6,6,6
"CA",45,45,47,47,54,54,54,55,55,55,55
"CO",7,7,8,8,8,8,8,9,9,9,9
"CT",8,8,8,8,8,8,8,7,7,7,7
"DE",3,3,3,3,3,3,3,3,3,3,3
"DC",3,3,3,3,3,3,3,3,3,3,3
"FL",17,17,21,21,25,25,25,27,27,29,29
"GA",12,12,12,12,13,13,13,15,15,16,16
"HI",4,4,4,4,4,4,4,4,4,4,4
"ID",4,4,4,4,4,4,4,4,4,4,4
"IL",26,26,24,24,22,22,22,21,21,20,20
"IN",13,13,12,12,12,12,12,11,11,11,11
"IA",8,8,8,8,7,7,7,7,7,6,6
"KS",7,7,7,7,6,6,6,6,6,6,6
"KY",9,9,9,9,8,8,8,8,8,8,8
"LA",10,10,10,10,9,9,9,9,9,8,8
"ME",4,4,4,4,4,4,4,4,4,4,4
"MD",10,10,10,10,10,10,10,10,10,10,10
"MA",14,14,13,13,12,12,12,12,12,11,11
"MI",21,21,20,20,18,18,18,17,17,16,16
"MN",10,10,10,10,10,10,10,10,10,10,10
"MS",7,7,7,7,7,7,7,6,6,6,6
"MO",12,12,11,11,11,11,11,11,11,10,10
"MT",4,4,4,4,3,3,3,3,3,3,3
"NE",5,5,5,5,5,5,5,5,5,5,5
"NV",3,3,4,4,4,4,4,5,5,6,6
"NH",4,4,4,4,4,4,4,4,4,4,4
"NJ",17,17,16,16,15,15,15,15,15,14,14
"NM",4,4,5,5,5,5,5,5,5,5,5
"NY",41,41,36,36,33,33,33,31,31,29,29
"NC",13,13,13,13,14,14,14,15,15,15,15
"ND",3,3,3,3,3,3,3,3,3,3,3
"OH",25,25,23,23,21,21,21,20,20,18,18
"OK",8,8,8,8,8,8,8,7,7,7,7
"OR",6,6,7,7,7,7,7,7,7,7,7
"PA",27,27,25,25,23,23,23,21,21,20,20
"RI",4,4,4,4,4,4,4,4,4,4,4
"SC",8,8,8,8,8,8,8,8,8,9,9
"SD",4,4,3,3,3,3,3,3,3,3,3
"TN",10,10,11,11,11,11,11,11,11,11,11
"TX",26,26,29,29,32,32,32,34,34,38,38
"UT",4,4,5,5,5,5,5,5,5,6,6
"VT",3,3,3,3,3,3,3,3,3,3,3
"VA",12,12,12,12,13,13,13,13,13,13,13
"WA",9,9,10,10,11,11,11,11,11,12,12
"WV",6,6,6,6,5,5,5,5,5,5,5
"WI",11,11,11,11,11,11,11,10,10,10,10
"WY",3,3,3,3,3,3,3,3,3,3,3
